dataset_name,setting,training_dataset,selection_rule,model_name,ACC,F1,MCC,AUROC,AP,SN,SP,threshold
H.sapiens_promoter_BERT5mC,"same species, unseen type",5hmC/5hmC_H.sapiens,closest seen human dataset,SNNRice,0.695625892032575,0.3208232899124505,0.33189678084579527,0.8695723283085796,0.2879586691444177,0.9207168458781361,0.6765625474304101,0.5
O.sativa_Rice_Chen,"same type, unseen species",6mA/A.thaliana,largest seen plant 6mA dataset,SNNRice,0.7630681818181815,0.7610315186246418,0.5262128141041296,0.8390418388429752,0.8286584107390114,0.7545454545454536,0.7715909090909082,0.5
E.coli_Li2020,"same type, unseen species",4mC/4mC_F.vesca,largest seen 4mC dataset,SNNRice,0.6428571428571404,0.6938775510204082,0.3030457633656632,0.7733056185437138,0.7904556756349221,0.8095238095238031,0.47619047619047244,0.5
H.sapiens_promoter_BERT5mC,"same species, unseen type",5hmC/5hmC_H.sapiens,closest seen human dataset,ENet,0.38196065261802814,0.19199473145031465,0.15913796731806315,0.7005889020646828,0.14061024658450091,0.9404301075268816,0.33466290258932097,0.5
O.sativa_Rice_Chen,"same type, unseen species",6mA/A.thaliana,largest seen plant 6mA dataset,ENet,0.4784090909090907,0.5861136158701533,-0.05057074066651599,0.47227530991735533,0.48821683450296927,0.7386363636363628,0.21818181818181792,0.5
E.coli_Li2020,"same type, unseen species",4mC/4mC_F.vesca,largest seen 4mC dataset,ENet,0.4285714285714269,0.5862068965517241,-0.22056438662814234,0.39553413958175865,0.4454368559514065,0.8095238095238031,0.04761904761904724,0.5
H.sapiens_promoter_BERT5mC,"same species, unseen type",5hmC/5hmC_H.sapiens,closest seen human dataset,UniMethylNet,0.5246970587412196,0.22015905375870112,0.1912130947769761,0.6841361078008426,0.1088040217666846,0.8592831541218637,0.49636038005039007,0.5
O.sativa_Rice_Chen,"same type, unseen species",6mA/A.thaliana,largest seen plant 6mA dataset,UniMethylNet,0.7482954545454542,0.7467124070897656,0.4966297098026994,0.8065250516528926,0.7881587092700311,0.7420454545454537,0.7545454545454536,0.5
E.coli_Li2020,"same type, unseen species",4mC/4mC_F.vesca,largest seen 4mC dataset,UniMethylNet,0.591269841269839,0.6644951140065146,0.2028894076640692,0.6813429075333838,0.6908215977972357,0.8095238095238031,0.3730158730158701,0.5
